city,state,country
Mumbai,Maharashtra,IN
Delhi,Delhi,IN
Bangalore,Karnataka,IN
Hyderabad,Telangana,IN
Ahmedabad,Gujarat,IN
Chennai,Tamil Nadu,IN
Kolkata,West Bengal,IN
Surat,Gujarat,IN
Pune,Maharashtra,IN
Jaipur,Rajasthan,IN
Lucknow,Uttar Pradesh,IN
Kanpur,Uttar Pradesh,IN
Nagpur,Maharashtra,IN
Indore,Madhya Pradesh,IN
Thane,Maharashtra,IN
Bhopal,Madhya Pradesh,IN
Visakhapatnam,Seemandhra,IN
Pimpri & Chinchwad,Maharashtra,IN
Patna,Bihar,IN
Vadodara,Gujarat,IN
Ghaziabad,Uttar Pradesh,IN
Ludhiana,Punjab,IN
Agra,Uttar Pradesh,IN
Nashik,Maharashtra,IN
Faridabad,Haryana,IN
Meerut,Uttar Pradesh,IN
Rajkot,Gujarat,IN
Kalyan & Dombivali,Maharashtra,IN
Vasai Virar,Maharashtra,IN
Varanasi,Uttar Pradesh,IN
Srinagar,Jammu & Kashmir,IN
Aurangabad,Maharashtra,IN
Dhanbad,Jharkhand,IN
Amritsar,Punjab,IN
Navi Mumbai,Maharashtra,IN
Allahabad,Uttar Pradesh,IN
Ranchi,Jharkhand,IN
Haora,West Bengal,IN
Coimbatore,Tamil Nadu,IN
Jabalpur,Maharashtra,IN
Gwalior,Madhya Pradesh,IN
Vijayawada,Seemandhra,IN
Jodhpur,Rajasthan,IN
Madurai,Tamil Nadu,IN
Raipur,Chhattisgarh,IN
Kota,Rajasthan,IN
Guwahati,Assam,IN
Chandigarh,Punjab,IN
Solapur,Maharashtra,IN
Hubli and Dharwad,Karnataka,IN
Bareilly,Uttar Pradesh,IN
Moradabad,Uttar Pradesh,IN
